ATTENUATION,75,5945849.072251189
1.0,0.0,0.0,0.0
1.05,0.0,2.2,3.700060282840389e-05
1.1,4.8,1904.4,0.031948338696743656
1.1500000000000001,111.6,42909.4,0.7197929089679383
1.2000000000000002,350.6,167667.8,2.8140169379820996
1.2500000000000002,424.4,334491.4,5.618491084125639
1.3000000000000003,699.6,534935.8,8.985027933070796
1.3500000000000003,2008.2,730543.6,12.252840446287438
1.4000000000000004,32627.8,1115553.0,18.213129644577204
1.4500000000000004,4486535.4,6651632.6,36.41359162822242
1.5000000000000004,13325625.0,13754394.4,7.211239215624116
