ATTENUATION,62,107486.4276558471
1.5,9.4,24788.2,23.052957048063238
1.52,31.4,27770.6,25.807165243984205
1.54,46.0,31016.2,28.813126155016715
1.56,49.2,34136.0,31.712655023888246
1.58,54.0,37233.0,34.58948335229886
1.6,44.4,40268.8,37.422771299825456
1.62,49.2,43435.6,40.364538059554576
1.6400000000000001,53.8,46276.2,43.00301071312566
1.6600000000000001,61.2,49140.6,45.66102071709344
1.6800000000000002,58.2,51822.6,48.15901051781219
1.7000000000000002,60.2,54288.6,50.45139296435634
1.7200000000000002,69.6,56693.6,52.68013946960841
1.7400000000000002,74.4,59000.2,54.82161914308864
1.7600000000000002,70.0,61090.4,56.77033029265493
1.7800000000000002,65.8,62863.0,58.423376206218094
1.8000000000000003,82.2,64661.0,60.08088779987192
1.8200000000000003,86.4,66144.0,61.45668940780597
1.8400000000000003,197.8,67553.2,62.66409766232096
1.8600000000000003,82.0,68634.4,63.77772663493189
1.8800000000000003,69.0,69691.0,64.77282901513628
1.9000000000000004,94.0,70684.4,65.67377997342902
1.9200000000000004,95.2,71531.8,66.46104215941348
1.9400000000000004,92.4,72029.0,66.9262171688583
1.9600000000000004,115.8,72636.2,67.46935550988609
1.9800000000000004,113.4,73132.4,67.93322802930447
2.0000000000000004,138.8,73388.4,68.14776674366043
2.0200000000000005,168.0,73829.0,68.53051274143164
2.0400000000000005,200.8,73924.0,68.58838051260658
2.0600000000000005,270.4,74310.8,68.88348753859839
2.0800000000000005,337.6,74681.4,69.1657557343295
2.1000000000000005,534.0,75595.6,69.83356097788851
2.1200000000000006,845.6,77408.6,71.23038849624945
