ATTENUATION,80,102368.76210041423
1.1,0.0,72.2,0.07052932800845879
1.12,0.0,333.2,0.3254899181775411
1.1400000000000001,0.0,1107.0,1.0813845720964528
1.1600000000000001,0.6,2570.8,2.5107268538412852
1.1800000000000002,3.0,4646.0,4.535563295613216
1.2000000000000002,9.0,7191.0,7.015812101894059
1.2200000000000002,10.8,10269.4,10.021221112293288
1.2400000000000002,11.8,13624.6,13.297806597140552
1.2600000000000002,30.4,17696.2,17.25702219850182
1.2800000000000002,47.4,22678.0,22.10693920260703
1.3000000000000003,87.6,28811.0,28.05875484928207
1.3200000000000003,258.2,35737.6,34.65842437871625
1.3400000000000003,756.8,43555.4,41.80826174103635
1.3600000000000003,2236.4,53997.8,50.56366701907257
1.3800000000000003,7733.4,70355.2,61.17276277950283
