ATTENUATION,75,5945849.072251189
0.9,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0500000000000003,0.0,4.4,7.400120565680778e-05
1.1,6.6,2247.8,0.03769352320864492
1.1500000000000004,94.6,51691.8,0.8677852292080552
1.2000000000000002,469.4,201669.2,3.383869949524681
1.2500000000000004,642.6,392665.0,6.593211419198947
1.3000000000000003,1003.4,604718.8,10.15356078945045
1.3500000000000005,2279.4,791896.6,13.280142001671075
1.4000000000000004,43082.8,1250389.8,20.30503945406901
1.4500000000000006,4896606.0,6946467.2,34.47550005207064
1.5000000000000004,13555654.6,13809260.4,4.265257945808936
