ATTENUATION,75,5945849.072251189
1.0,0.0,0.0,0.0
1.05,0.0,2.4,4.0364293994622424e-05
1.1,5.8,2195.6,0.03682905457892675
1.1500000000000001,97.8,47058.8,0.7898115042839432
1.2000000000000002,337.4,188408.4,3.1630638066094314
1.2500000000000002,676.6,385570.6,6.473322738652586
1.3000000000000003,999.0,598384.4,10.047099964039633
1.3500000000000003,2238.6,790589.8,13.258849836588912
1.4000000000000004,34930.0,1213995.2,19.830055988178454
1.4500000000000004,4771617.8,6885344.6,35.54962082479687
1.5000000000000004,13504224.4,13927035.6,7.111031492091281
