Time,V_1(V),V_2(V),Power(W)
0.0,0.0002687,0.0002337,0.366260141
1.120011329650879,0.0002685,0.0002328,0.366517931
3.670036792755127,0.0002677,0.0002326,0.366061866
4.78004789352417,0.0002673,0.0002330,0.36705327
6.000060319900513,0.0002683,0.0002334,0.366835177
7.730078220367432,0.0002680,0.0002336,0.366478235
9.220093250274658,0.0002676,0.0002334,0.366696358
11.60211730003357,0.0002674,0.0002345,0.366993755
13.214133501052856,0.0002672,0.0002340,0.367786914
14.336144924163818,0.0002657,0.0002318,0.368679136
15.448156356811523,0.0002657,0.0002308,0.36784637
16.668168544769287,0.0002674,0.0002297,0.36744982
17.788179636001587,0.0002679,0.0002297,0.367747217
18.978191375732422,0.0002685,0.0002291,0.368024796
20.078202486038208,0.0002705,0.0002304,0.367866188
21.208213806152344,0.0002699,0.0002302,0.36810416
22.458226203918457,0.0002698,0.0002314,0.368480861
23.638237953186035,0.0002692,0.0002316,0.368401557
25.448256254196167,0.0002669,0.0002336,0.367707551
27.218273878097534,0.0002668,0.0002346,0.366656661
29.318294763565063,0.0002660,0.0002324,0.366755813
30.438306093215942,0.0002657,0.0002320,0.366636902
32.64832830429077,0.0002664,0.0002339,0.367945492
33.758339405059814,0.0002674,0.0002346,0.368560165
34.86835050582886,0.0002656,0.0002338,0.368738651
36.48836660385132,0.0002644,0.0002310,0.36875844
37.61837816238403,0.0002660,0.0002315,0.367965341
38.788389682769775,0.0002624,0.0002281,0.368560165
40.358405351638794,0.0002637,0.0002308,0.368421406
41.67841839790344,0.0002611,0.0002288,0.368639439
43.01843190193176,0.0002625,0.0002290,0.369452447
44.11844277381897,0.0002612,0.0002270,0.369135201
45.68845868110657,0.0002614,0.0002276,0.369095504
46.8184700012207,0.0002606,0.0002264,0.369551569
47.91848087310791,0.0002606,0.0002265,0.369769692
50.26850438117981,0.0002603,0.0002280,0.370106697
51.758519411087036,0.0002610,0.0002295,0.370305032
53.048532247543335,0.0002624,0.0002302,0.370285213
55.97856163978577,0.0002607,0.0002279,0.370404184
57.14857316017151,0.0002611,0.0002282,0.370166242
58.84857892990112,0.0002604,0.0002272,0.370364487
59.94857883453369,0.0002607,0.0002280,0.370404184
61.26857900619507,0.0002605,0.0002282,0.369908452
62.398579120635986,0.0002593,0.0002297,0.369710177
63.51857900619507,0.0002593,0.0002312,0.369650722
64.61857891082764,0.0002590,0.0002324,0.369908452
65.71857905387878,0.0002595,0.0002319,0.370126545
66.82857894897461,0.0002600,0.0002310,0.369928271
67.93857908248901,0.0002602,0.0002315,0.369690329
69.06857895851135,0.0002617,0.0002335,0.369611025
70.21857905387878,0.0002623,0.0002346,0.369571418
71.32857894897461,0.0002617,0.0002341,0.369432598
72.47857904434204,0.0002612,0.0002345,0.369531721
73.58857893943787,0.0002602,0.0002334,0.369214475
74.83857893943787,0.0002602,0.0002343,0.369036049
76.09857892990112,0.0002598,0.0002328,0.368857563
77.22857880592346,0.0002606,0.0002344,0.368639439
78.36857891082764,0.0002596,0.0002346,0.368798107
79.47857904434204,0.0002574,0.0002350,0.368857563
81.10857892036438,0.0002567,0.0002344,0.369174808
82.22857880592346,0.0002553,0.0002339,0.369273931
83.33857893943787,0.0002548,0.0002338,0.369571418
85.00857877731323,0.0002551,0.0002346,0.369472265
86.1285789012909,0.0002541,0.0002331,0.369511902
87.39857912063599,0.0002539,0.0002323,0.369333476
88.59857892990112,0.0002536,0.0002324,0.369293779
89.8085789680481,0.0002545,0.0002308,0.369511902
91.21857905387878,0.0002542,0.0002311,0.369630873
92.32857894897461,0.0002539,0.0002312,0.369690329
93.43857908248901,0.0002548,0.0002339,0.369690329
94.65857911109924,0.0002550,0.0002342,0.369987786
95.76857900619507,0.0002546,0.0002349,0.369948119
96.89857912063599,0.0002541,0.0002348,0.370265365
98.21857905387878,0.0002542,0.0002337,0.369868815
99.48857879638672,0.0002546,0.0002337,0.370027423
100.70857882499695,0.0002535,0.0002324,0.369948119
101.82857894897461,0.0002549,0.0002322,0.369948119
102.94857883453369,0.0002565,0.0002329,0.369591206
104.07857894897461,0.0002585,0.0002333,0.369511902
105.22857880592346,0.0002599,0.0002327,0.369531721
106.34857892990112,0.0002613,0.0002322,0.369353294
107.47857904434204,0.0002624,0.0002322,0.369254172
108.58857893943787,0.0002610,0.0002325,0.369095504
109.72857880592346,0.0002609,0.0002329,0.36915502
110.83857893943787,0.0002646,0.0002383,0.369472265
112.2385790348053,0.0002639,0.0002369,0.369432598
113.36857891082764,0.0002620,0.0002356,0.368778259
114.47857904434204,0.0002591,0.0002332,0.368837774
115.70857882499695,0.0002590,0.0002324,0.368659288
116.81857895851135,0.0002589,0.0002311,0.369234324
117.93857908248901,0.0002590,0.0002308,0.36915502
119.07857894897461,0.0002583,0.0002314,0.369214475
120.21857905387878,0.0002600,0.0002321,0.369591206
121.32857894897461,0.0002623,0.0002339,0.369650722
122.43857908248901,0.0002623,0.0002334,0.369710177
123.5585789680481,0.0002624,0.0002331,0.369373083
124.72857880592346,0.0002625,0.0002321,0.369829148
125.88857889175415,0.0002634,0.0002327,0.369749844
127.02857899665833,0.0002637,0.0002316,0.369749844
128.13857913017273,0.0002625,0.0002297,0.369135201
129.26857900619507,0.0002621,0.0002293,0.368837774
130.398579120636,0.0002624,0.0002296,0.369075686
131.51857900619507,0.0002628,0.0002296,0.369055897
132.6285789012909,0.0002631,0.0002305,0.369591206
133.72857880592346,0.0002622,0.0002315,0.369511902
134.83857893943787,0.0002608,0.0002312,0.369214475
135.9485788345337,0.0002614,0.0002307,0.369214475
137.09857892990112,0.0002618,0.0002310,0.369511902
138.22857880592346,0.0002632,0.0002308,0.369293779
139.34857892990112,0.0002633,0.0002301,0.369254172
140.47857904434204,0.0002622,0.0002290,0.369492054
141.58857893943787,0.0002617,0.0002276,0.369432598
142.71857905387878,0.0002611,0.0002270,0.369313627
143.8285789489746,0.0002615,0.0002258,0.369313627
144.9485788345337,0.0002611,0.0002262,0.369373083
146.0785789489746,0.0002607,0.0002278,0.369254172
147.22857880592346,0.0002591,0.0002294,0.369452447
148.36857891082764,0.0002568,0.0002291,0.369551569
149.54857897758484,0.0002555,0.0002287,0.369472265
150.67857909202576,0.0002558,0.0002289,0.369392931
151.8285789489746,0.0002558,0.0002292,0.369611025
152.95857906341553,0.0002557,0.0002293,0.369571418
154.0785789489746,0.0002573,0.0002301,0.369432598
155.22857880592346,0.0002588,0.0002303,0.369194657
156.37857913970947,0.0002603,0.0002302,0.369036049
157.49857902526855,0.0002617,0.0002299,0.369135201
158.6285789012909,0.0002628,0.0002303,0.369075686
159.78857898712158,0.0002641,0.0002307,0.368897229
160.92857885360718,0.0002638,0.0002302,0.368639439
162.04857897758484,0.0002633,0.0002310,0.368917078
163.16857886314392,0.0002623,0.0002295,0.3690162
